index,title,year,genres,director,cast
0,Leap Year,2010,Romance Comedy,Anand Tucker Amy Adams Matthew Goode Adam Scott John Lithgow
1,Letters to Juliet,2010,Adventure Comedy Drama Romance,Gary Winick Amanda Seyfried Gael Garcia Bernal Vanessa Redgrave
2,"Love, Rosie",2014,Romance Comedy Drama,Christian Ditter,Lily Collins Sam Claflin Tamsin Eferton
3,"To all the boys I've loved before",2018,Romance Teen Drama Comedy,Susan Johnson,Lana Condor Noah Centineo
4,Me Before You,2016,Romance Drama,Thea Sharrock,Emilia Clarke Sam Claflin
5,Joker,2019,Crime Drama Thriller,Todd Phillips,Joaquin Phoenix Robert De Niro Zazie Beetz Frances
6,The Silence of the Lambs,1991,Thriller Crime,Jonathan Demme,Jodie Foster Anthony Hopskin Scott Glenn Ted Levine
7,Inception,2010,Sci-Fi Action Adventure,Christopher Nolan,Leonardo DiCaprio Joseph Gordon-Levitt Ellen Page Tom Handy Ken Watanabe Dileep Rap
8,The Martian,2015,Sci-Fi Drama,Ridley Scott,Matt Damon Jessica Chastain Jeff Daniels Kristen Wiig Chiwetel Ejiofor Sean Bean
9,Interstellar,2014,Sci-Fi Adventure,Christopher Nolan,Mattew McConaughey Anne Hathaway Jessica Chastain Matt Damon
10,The Proposal,2009,Comedy Drama Romance,Anne Fletcher,Sandra Bullock Ryan Reynolds Mary Steenburgen
11,The Theory of Everything,2014,Biography Drama Romance,James Marsh,Eddie Redmayne Felicity Jones Tom Prior
12,About Time,2013,Comedy Drama Fantasy,Richard Curtis,Domhnall Gleeson Rachel McAdams Bill Nighy